year,puan_alt,TYT,SAY
2025,500,1,1
2025,480,189,884
2025,460,2152,5944
2025,440,8569,15694
2025,420,22109,31238
2025,400,46392,51507
2025,380,83204,75748
2025,360,134007,103307
2025,340,202671,133948
2025,320,296323,169552
2025,300,424129,213581
2025,280,598716,268984
2025,260,834335,341396
2025,240,1126949,439150
2025,220,1448532,577770
2025,200,1770557,791274
2025,180,2076079,1125636
2025,160,2320462,1449110
2025,140,2418333,1610503
2025,120,2425470,1628079
2025,100,2425560,1628200
