year,puan_alt,TYT,SAY
2021,500,2,1
2021,480,88,39
2021,460,568,410
2021,440,1926,1621
2021,420,5117,4259
2021,400,12291,9729
2021,380,26196,19002
2021,360,47943,32244
2021,340,77545,48828
2021,320,115089,67698
2021,300,163412,89388
2021,280,228815,114752
2021,260,320536,144886
2021,240,452562,183066
2021,220,640586,232263
2021,200,894331,298093
2021,180,1131223,390132
2021,150,1627539,759432
2021,100,2393283,910507
