year,puan_alt,TYT,SAY
2019,500,1,1
2019,480,231,472
2019,460,2104,2967
2019,440,6774,8262
2019,420,15428,16569
2019,400,29332,27768
2019,380,48263,40656
2019,360,72631,55103
2019,340,103410,71382
2019,320,143081,89704
2019,300,196373,111271
2019,280,271289,137645
2019,260,377840,171529
2019,240,530944,216581
2019,220,742020,277422
2019,200,1014530,362390
2019,180,1275957,484820
2019,150,1761392,1015146
2019,100,2375217,1232397
