year,puan_alt,TYT,SAY
2020,500,5,3
2020,480,529,1300
2020,460,3744,7126
2020,440,11156,18811
2020,420,23900,34222
2020,400,42803,51511
2020,380,67019,69707
2020,360,96901,88287
2020,340,133808,108399
2020,320,181329,131552
2020,300,243743,158821
2020,280,327314,192294
2020,260,442153,233910
2020,240,598087,286770
2020,220,797757,354646
2020,200,1042710,446152
2020,180,1297656,575546
2020,170,1441671,693440
2020,150,1745642,1006874
2020,100,2257671,1183249
