year,puan_alt,TYT,SAY
2024,500,1,1
2024,480,986,1069
2024,460,8234,4750
2024,440,23564,11529
2024,420,45685,21345
2024,400,74365,34156
2024,380,110048,49575
2024,360,156162,67370
2024,340,216563,88385
2024,320,300825,112870
2024,300,417417,142684
2024,280,585243,180424
2024,260,821185,230040
2024,240,1118205,297460
2024,220,1461314,394384
2024,200,1825318,549385
2024,180,2202319,814732
2024,160,2550017,1105934
2024,140,2736068,1281163
2024,120,2754938,1306785
2024,100,2755277,1307007
