year,puan_alt,TYT,SAY
2023,500,1,2
2023,480,857,1821
2023,460,6995,9110
2023,440,21750,20929
2023,420,43784,35986
2023,400,73371,53760
2023,380,111109,73124
2023,360,159562,94745
2023,340,224069,119950
2023,320,314087,149647
2023,300,438380,186170
2023,280,609429,232352
2023,260,833742,292779
2023,240,1111243,373863
2023,220,1433162,485081
2023,200,1795427,645976
2023,180,2189426,890468
2023,160,2599464,1187792
2023,140,2858305,1428564
2023,120,2894255,1499064
2023,100,2895128,1500310
