year,puan_alt,TYT,SAY
2020,550,48,150
2020,530,1080,2846
2020,510,4961,10041
2020,490,13501,22390
2020,470,26999,37753
2020,450,45824,54534
2020,430,69646,72022
2020,410,98777,90140
2020,390,134509,109784
2020,370,179581,132428
2020,350,237601,158867
2020,330,313204,191150
2020,310,413458,230935
2020,290,546557,280599
2020,270,716747,342911
2020,250,927745,425444
2020,230,1168283,538156
2020,210,1436803,674050
2020,200,1579449,685546
2020,190,1699953,693077
2020,170,1744928,693440
2020,150,1745642,693440
