year,puan_alt,TYT,SAY
2025,550,14,57
2025,530,601,1930
2025,510,3648,7081
2025,490,11733,16140
2025,470,27141,29410
2025,450,52500,46142
2025,430,88915,65449
2025,410,137133,87117
2025,390,201126,111498
2025,370,286158,139619
2025,350,397823,174355
2025,330,545280,217778
2025,310,737144,274252
2025,290,976188,348397
2025,270,1251236,449880
2025,250,1542701,596635
2025,230,1835041,811201
2025,210,2099883,1052783
2025,190,2270224,1228141
2025,170,2308495,1287932
2025,150,2310553,1291491
2025,130,2310579,1291531
2025,115,2310579,1291531
