year,puan_alt,TYT,SAY
2022,550,65,158
2022,530,2122,3124
2022,510,10380,11514
2022,490,26515,24295
2022,470,49496,39660
2022,450,79046,56594
2022,430,115046,74846
2022,410,160621,95207
2022,390,218809,117745
2022,370,295056,144116
2022,350,394843,175948
2022,330,526242,215369
2022,310,697635,264371
2022,290,914876,326592
2022,270,1183226,407612
2022,250,1512762,521061
2022,230,1920877,691818
2022,210,2408640,931300
2022,190,2804680,1202733
2022,170,2906518,1398870
2022,150,2911466,1429347
2022,130,2911511,1429832
2022,115,2911511,1429833
