year,puan_alt,TYT,SAY
2023,550,64,231
2023,530,2574,4106
2023,510,11351,12729
2023,490,27393,25220
2023,470,50565,40564
2023,450,80143,58212
2023,430,117105,77195
2023,410,164636,98718
2023,390,226946,123578
2023,370,311136,152827
2023,350,424626,188759
2023,330,575456,234032
2023,310,768691,292003
2023,290,1008139,368410
2023,270,1290708,469700
2023,250,1614577,610788
2023,230,1978202,810947
2023,210,2377980,1063434
2023,190,2743018,1312454
2023,170,2883521,1475827
2023,150,2894979,1499955
2023,130,2895128,1500309
2023,115,2895128,1500310
