year,puan_alt,TYT,SAY
2024,550,59,162
2024,530,3017,2271
2024,510,12996,7029
2024,490,29976,14673
2024,470,53253,25274
2024,450,82281,38578
2024,430,118095,54307
2024,410,163769,72418
2024,390,223427,93485
2024,370,304035,118001
2024,350,412255,148110
2024,330,560622,185681
2024,310,761711,234882
2024,290,1017130,300531
2024,270,1318668,392302
2024,250,1652661,531055
2024,230,2011925,746123
2024,210,2377153,1000554
2024,190,2662249,1208531
2024,170,2749663,1300183
2024,150,2755201,1306920
2024,130,2755276,1307007
2024,115,2755277,1307007
