ders,2019,2020,2021,2022,2023,2024,2025,2026
turkce,3.105,3.24,2.921,2.841,2.89,2.909,2.828,2.7714
sosyal_bilimler,3.029,3.658,2.979,3.144,3.025,2.937,2.988,2.9282
temel_matematik,3.725,3.344,4.53,2.873,3.021,2.926,3.28,3.2144
fen_bilimleri,3.493,3.405,3.185,3.134,3.057,3.149,2.526,2.4755
baslangic_puani,100.069,99.421,97.339,145.891,141.899,144.945,145.471,152.123
